Gene name	Ensembl gene ID	Location	Gene type	Description	Source for gene being significantly up-regulated in aging MII oocytes	No. of sources	Source for gene being significantly down-regulated in aging MII oocytes	No. of sources	Is this gene consistently up- or down-regulated? (i.e. no study draws an opposing conclusion)
ENSG00000261458	ENSG00000261458	16:74842587-74843883:1	unprocessed_pseudogene	WD repeat domain 59 (WDR59) pseudogene	Llonch 2021	1	.	0	yes
LINC00558	ENSG00000261517	13:53815419-53939960:1	lncRNA	long intergenic non-protein coding RNA 558 [Source:HGNC Symbol;Acc:HGNC:43702]	.	0	Zhang 2020	1	yes
LINC02177	ENSG00000261617	16:9355588-9408093:1	lncRNA	long intergenic non-protein coding RNA 2177 [Source:HGNC Symbol;Acc:HGNC:53039]	This study	1	.	0	yes
SSTR5-AS1	ENSG00000261713	16:1064081-1078731:-1	lncRNA	SSTR5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26502]	Zhang 2020	1	.	0	yes
MRPL12	ENSG00000262814	17:81703367-81707517:1	protein_coding	mitochondrial ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10378]	.	0	Hamatini 2004, Ntostis 2021	2	yes
TMPOP2	ENSG00000262904	16:74667506-74668706:1	processed_pseudogene	thymopoietin pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:50860]	Llonch 2021	1	.	0	yes
ENSG00000262921	ENSG00000262921	17:4565752-4571760:1	lncRNA	novel transcript	Llonch 2021, This study	2	.	0	yes
GTF2I	ENSG00000263001	7:74650231-74760692:1	protein_coding	general transcription factor IIi [Source:HGNC Symbol;Acc:HGNC:4659]	Llonch 2021	1	.	0	yes
ZNF234	ENSG00000263002	19:44141554-44160313:1	protein_coding	zinc finger protein 234 [Source:HGNC Symbol;Acc:HGNC:13027]	Llonch 2021	1	.	0	yes
RPS7P1	ENSG00000263266	17:28467822-28468406:1	processed_pseudogene	ribosomal protein S7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:17081]	.	0	Ntostis 2021	1	yes
MIF4GD-DT	ENSG00000263843	17:75271369-75273895:1	lncRNA	MIF4GD divergent transcript [Source:HGNC Symbol;Acc:HGNC:55335]	This study	1	.	0	yes
ENSG00000264990	ENSG00000264990	17:34176538-34178166:1	lncRNA	novel transcript	Llonch 2021	1	.	0	yes
TSPOAP1-AS1	ENSG00000265148	17:58324472-58415766:1	lncRNA	TSPOAP1, SUPT4H1 and RNF43 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44148]	.	0	Ntostis 2021	1	yes
ENSG00000265188	ENSG00000265188	18:5240255-5241167:-1	processed_pseudogene	transforming, acidic coiled-coil containing protein (TACC3) pseudogene	Llonch 2021	1	.	0	yes
RBM8A	ENSG00000265241	1:145921556-145927678:-1	protein_coding	RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905]	.	0	Llonch 2021	1	yes
ENSG00000265750	ENSG00000265750	18:24159509-24162211:-1	lncRNA	novel transcript	Llonch 2021	1	.	0	yes
SEC22B	ENSG00000265808	1:120150898-120176520:-1	protein_coding	SEC22 homolog B, vesicle trafficking protein [Source:HGNC Symbol;Acc:HGNC:10700]	.	0	Grondahl 2010	1	yes
FSBP	ENSG00000265817	8:94378377-94436952:-1	protein_coding	fibrinogen silencer binding protein [Source:HGNC Symbol;Acc:HGNC:43653]	.	0	Ntostis 2021	1	yes
TXNIP	ENSG00000265972	1:145992435-145996579:-1	protein_coding	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	.	0	Pan 2008	1	yes
GREB1L-DT	ENSG00000265984	18:21240675-21241371:-1	lncRNA	GREB1L divergent transcript [Source:HGNC Symbol;Acc:HGNC:55323]	.	0	Llonch 2021	1	yes
ESRG	ENSG00000265992	3:54632122-54639857:-1	lncRNA	embryonic stem cell related [Source:HGNC Symbol;Acc:HGNC:39079]	Barone 2020	1	.	0	yes
BAHCC1	ENSG00000266074	17:81395457-81466331:1	protein_coding	BAH domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29279]	Yuan 2021	1	.	0	yes
RASSF5	ENSG00000266094	1:206507531-206589448:1	protein_coding	Ras association domain family member 5 [Source:HGNC Symbol;Acc:HGNC:17609]	This study	1	Ntostis 2021, Pan 2008	2	no
ENSG00000266126	ENSG00000266126	17:19929372-19929737:-1	lncRNA	novel transcript	.	0	This study	1	yes
STRADA	ENSG00000266173	17:63682336-63741986:-1	protein_coding	STE20 related adaptor alpha [Source:HGNC Symbol;Acc:HGNC:30172]	.	0	Barone 2020	1	yes
MRPS21	ENSG00000266472	1:150293861-150308979:1	protein_coding	mitochondrial ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:14046]	.	0	Llonch 2021	1	yes
MYO15B	ENSG00000266714	17:75587800-75626849:1	protein_coding	myosin XVB [Source:HGNC Symbol;Acc:HGNC:14083]	Zhang 2020	1	.	0	yes
ENSG00000266801	ENSG00000266801	16:68933820-68937725:1	lncRNA	novel transcript, sense intronic to transmembrane and coiled-coil domains 7 TMCO7	.	0	This study	1	yes
LINC00663	ENSG00000266904	19:19757366-19776423:-1	lncRNA	long intergenic non-protein coding RNA 663 [Source:HGNC Symbol;Acc:HGNC:28609]	Barone 2020	1	.	0	yes
ZNF850	ENSG00000267041	19:36714383-36772825:-1	protein_coding	zinc finger protein 850 [Source:HGNC Symbol;Acc:HGNC:27994]	.	0	Llonch 2021	1	yes
SCAT1	ENSG00000267123	17:78605233-78632155:-1	lncRNA	S-phase cancer associated transcript 1 [Source:HGNC Symbol;Acc:HGNC:52930]	.	0	Llonch 2021, Ntostis 2021	2	yes
ENSG00000267174	ENSG00000267174	19:11295715-11324441:-1	lncRNA	novel transcript	This study	1	.	0	yes
ENSG00000267199	ENSG00000267199	18:12438890-12448205:1	lncRNA	novel transcript, antisense SPIRE1	This study	1	.	0	yes
SNHG30	ENSG00000267321	17:35568050-35574900:1	lncRNA	small nucleolar RNA host gene 30 [Source:HGNC Symbol;Acc:HGNC:52836]	.	0	Ntostis 2021	1	yes
GEMIN7-AS1	ENSG00000267348	19:45076510-45092635:-1	lncRNA	GEMIN7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53773]	.	0	Ntostis 2021	1	yes
UPK3BL1	ENSG00000267368	7:102637025-102642791:-1	protein_coding	uroplakin 3B like 1 [Source:HGNC Symbol;Acc:HGNC:37278]	.	0	Llonch 2021	1	yes
LINC00907	ENSG00000267586	18:42159283-42691422:1	lncRNA	long intergenic non-protein coding RNA 907 [Source:HGNC Symbol;Acc:HGNC:44327]	This study	1	.	0	yes
ENSG00000267606	ENSG00000267606	19:56354493-56368053:-1	lncRNA	novel transcript	Llonch 2021	1	.	0	yes
ICAM4-AS1	ENSG00000267607	19:10285801-10289019:-1	lncRNA	ICAM4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55990]	Llonch 2021, This study	2	.	0	yes
ENSG00000267665	ENSG00000267665	17:77516887-77536601:1	lncRNA	novel transcript	This study	1	.	0	yes
RPLP0P12	ENSG00000267669	18:59824025-59825261:1	transcribed_processed_pseudogene	ribosomal protein lateral stalk subunit P0 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:55907]	Llonch 2021	1	.	0	yes
ENSG00000267774	ENSG00000267774	18:59696459-59698111:1	lncRNA	novel transcript, antisense to CCBE1	This study	1	.	0	yes
NDUFV2P1	ENSG00000267809	19:53223973-53224879:-1	processed_pseudogene	NADH:ubiquinone oxidoreductase core subunit V2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7718]	.	0	Ntostis 2021	1	yes
NDUFA7	ENSG00000267855	19:8308768-8321375:-1	protein_coding	NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691]	.	0	Barone 2020, Ntostis 2021	2	yes
CCDC177	ENSG00000267909	14:69569799-69574871:-1	protein_coding	coiled-coil domain containing 177 [Source:HGNC Symbol;Acc:HGNC:23243]	.	0	Barone 2020	1	yes
NAPA-AS1	ENSG00000268061	19:47484282-47502399:1	lncRNA	NAPA antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44118]	.	0	Ntostis 2021	1	yes
SLC6A14	ENSG00000268104	X:116436606-116461458:1	protein_coding	solute carrier family 6 member 14 [Source:HGNC Symbol;Acc:HGNC:11047]	Barone 2020, Llonch 2021	2	.	0	yes
SMIM17	ENSG00000268182	19:56643159-56657247:1	protein_coding	small integral membrane protein 17 [Source:HGNC Symbol;Acc:HGNC:27114]	.	0	This study	1	yes
SMC5-DT	ENSG00000268364	9:70193997-70258866:-1	lncRNA	SMC5 divergent transcript [Source:HGNC Symbol;Acc:HGNC:48718]	Llonch 2021	1	.	0	yes
ENSG00000268678	ENSG00000268678	19:57350848-57352012:-1	lncRNA	novel transcript, antisense to ZNF304	Llonch 2021	1	.	0	yes
ENSG00000268713	ENSG00000268713	19:57261354-57262738:1	lncRNA	novel transcript	.	0	This study	1	yes
CALR3	ENSG00000269058	19:16479061-16496167:-1	protein_coding	calreticulin 3 [Source:HGNC Symbol;Acc:HGNC:20407]	.	0	Ntostis 2021	1	yes
ENSG00000269068	ENSG00000269068	2:219559083-219559626:1	lncRNA	novel transcript, antisense to OBSL1	This study	1	.	0	yes
LINC01082	ENSG00000269186	16:86195954-86199937:1	lncRNA	long intergenic non-protein coding RNA 1082 [Source:HGNC Symbol;Acc:HGNC:49125]	.	0	Llonch 2021	1	yes
ZNF587B	ENSG00000269343	19:57819721-57846238:1	protein_coding	zinc finger protein 587B [Source:HGNC Symbol;Acc:HGNC:37142]	.	0	Barone 2020	1	yes
LINC01224	ENSG00000269416	19:23399097-23416075:-1	lncRNA	long intergenic non-protein coding RNA 1224 [Source:HGNC Symbol;Acc:HGNC:49676]	.	0	This study	1	yes
C10orf95-AS1	ENSG00000269609	10:102449816-102461106:1	lncRNA	C10orf95 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45238]	This study	1	.	0	yes
KCNQ1OT1	ENSG00000269821	11:2597308-2700003:-1	lncRNA	KCNQ1 opposite strand/antisense transcript 1 [Source:HGNC Symbol;Acc:HGNC:6295]	Barone 2020	1	.	0	yes
EGLN2	ENSG00000269858	19:40798996-40808434:1	protein_coding	egl-9 family hypoxia inducible factor 2 [Source:HGNC Symbol;Acc:HGNC:14660]	.	0	Ntostis 2021	1	yes
COMMD3-BMI1	ENSG00000269897	10:22316388-22329542:1	protein_coding	COMMD3-BMI1 readthrough [Source:HGNC Symbol;Acc:HGNC:48326]	.	0	Ntostis 2021	1	yes
ENSG00000269906	ENSG00000269906	14:50662511-50663178:-1	lncRNA	novel transcript, sense intronic to SAV1	.	0	Llonch 2021	1	yes
MIRLET7A1HG	ENSG00000269929	9:94166258-94200905:1	lncRNA	miRlet-7a-1/let-7f-1/let-7d cluster host gene [Source:HGNC Symbol;Acc:HGNC:53970]	Llonch 2021	1	.	0	yes
ENSG00000270087	ENSG00000270087	10:75279725-75401246:-1	lncRNA	novel transcript	.	0	Llonch 2021	1	yes
BIVM-ERCC5	ENSG00000270181	13:102799110-102875994:1	protein_coding	BIVM-ERCC5 readthrough [Source:HGNC Symbol;Acc:HGNC:43690]	This study	1	.	0	yes
ENSG00000270299	ENSG00000270299	20:646626-675800:-1	protein_coding	novel protein	This study	1	.	0	yes
URGCP-MRPS24	ENSG00000270617	7:43866558-43906589:-1	protein_coding	URGCP-MRPS24 readthrough [Source:HGNC Symbol;Acc:HGNC:49188]	This study	1	.	0	yes
TSIX	ENSG00000270641	X:73792205-73829231:1	lncRNA	TSIX transcript, XIST antisense RNA [Source:HGNC Symbol;Acc:HGNC:12377]	Barone 2020	1	.	0	yes
MILR1	ENSG00000271605	17:64449037-64468643:1	protein_coding	mast cell immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:27570]	Barone 2020	1	.	0	yes
POU2F1-DT	ENSG00000272205	1:167219822-167220588:-1	lncRNA	POU2F1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55222]	This study	1	.	0	yes
ENSG00000272218	ENSG00000272218	4:186892552-186892983:1	lncRNA	novel transcript	This study	1	.	0	yes
KMT2B	ENSG00000272333	19:35717973-35738880:1	protein_coding	lysine methyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:15840]	.	0	Barone 2020	1	yes
IFNL4	ENSG00000272395	19:39246314-39248856:-1	protein_coding	interferon lambda 4 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:44480]	.	0	Barone 2020	1	yes
AFAP1-AS1	ENSG00000272620	4:7754077-7778928:1	lncRNA	AFAP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28141]	This study	1	.	0	yes
ENSG00000272667	ENSG00000272667	2:127886556-127887185:1	lncRNA	novel transcript	.	0	Llonch 2021	1	yes
PCDHB16	ENSG00000272674	5:141182387-141186226:1	protein_coding	protocadherin beta 16 [Source:HGNC Symbol;Acc:HGNC:14546]	.	0	Hamatini 2004	1	yes
BMS1P20	ENSG00000272779	22:22303224-22310401:1	transcribed_unprocessed_pseudogene	BMS1 pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:49153]	Barone 2020	1	.	0	yes
ENSG00000272851	ENSG00000272851	2:207753872-207754435:-1	lncRNA	novel transcript	Llonch 2021	1	.	0	yes
CSPG4P5	ENSG00000272887	15:84401807-84408005:-1	transcribed_unprocessed_pseudogene	chondroitin sulfate proteoglycan 4 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:29403]	.	0	Ntostis 2021	1	yes
TRIM8-DT	ENSG00000272933	10:102642792-102644140:-1	lncRNA	TRIM8 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55573]	Llonch 2021	1	.	0	yes
ARL2-SNX15	ENSG00000273003	11:65014182-65040570:1	protein_coding	ARL2-SNX15 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49197]	.	0	Ntostis 2021	1	yes
FAM106A	ENSG00000273018	17:18511221-18551705:-1	lncRNA	family with sequence similarity 106 member A [Source:HGNC Symbol;Acc:HGNC:25682]	Barone 2020	1	.	0	yes
GRIN2B	ENSG00000273079	12:13437942-13982002:-1	protein_coding	glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586]	This study	1	.	0	yes
FAM25BP	ENSG00000273225	10:46369113-46373508:1	transcribed_unprocessed_pseudogene	family with sequence similarity 25 member B, pseudogene [Source:HGNC Symbol;Acc:HGNC:23584]	.	0	Ntostis 2021	1	yes
ZBTB8B	ENSG00000273274	1:32465072-32496686:1	protein_coding	zinc finger and BTB domain containing 8B [Source:HGNC Symbol;Acc:HGNC:37057]	This study	1	Barone 2020	1	no
ENSG00000273314	ENSG00000273314	7:148696467-148698664:-1	lncRNA	novel transcript, antisense to CUL1	This study	1	.	0	yes
ENSG00000273338	ENSG00000273338	1:78004346-78004554:-1	lncRNA	novel transcript, antisense to DNAJB4	.	0	Llonch 2021	1	yes
PMS2P10	ENSG00000273598	7:75316048-75327765:-1	transcribed_unprocessed_pseudogene	PMS1 homolog 2, mismatch repair system component pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:9124]	.	0	Ntostis 2021	1	yes
ENPP7P7	ENSG00000273819	11:67812557-67873367:-1	unprocessed_pseudogene	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:48690]	.	0	Ntostis 2021	1	yes
NOL12	ENSG00000273899	22:37681673-37693476:1	protein_coding	nucleolar protein 12 [Source:HGNC Symbol;Acc:HGNC:28585]	This study	1	.	0	yes
ENSG00000273920	ENSG00000273920	15:81335577-81336119:1	lncRNA	novel transcript, antisense to TMC3	.	0	This study	1	yes
ENSG00000274038	ENSG00000274038	16:11056556-11057034:1	lncRNA	novel transcript, sense intronic to CLEC16A	.	0	This study	1	yes
ADRA2B	ENSG00000274286	2:96112876-96116571:-1	protein_coding	adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282]	.	0	Barone 2020	1	yes
RCC1L	ENSG00000274523	7:75027122-75074228:-1	protein_coding	RCC1 like [Source:HGNC Symbol;Acc:HGNC:14948]	Ntostis 2021	1	This study	1	no
ENSG00000274943	ENSG00000274943	12:42361267-42361703:1	lncRNA	novel transcript, sense intronic to PPHLN1	.	0	Llonch 2021	1	yes
ENSG00000274979	ENSG00000274979	12:69326574-69331882:-1	lncRNA	novel transcript	.	0	This study	1	yes
ZNF280B	ENSG00000275004	22:22484421-22508742:-1	protein_coding	zinc finger protein 280B [Source:HGNC Symbol;Acc:HGNC:23022]	.	0	Zhang 2020	1	yes
ENSG00000275078	ENSG00000275078	8:139508701-139508971:-1	unprocessed_pseudogene	MAD1 mitotic arrest deficient-like 1 (yeast) (MAD1L1) pseudogene	This study	1	.	0	yes
ZNF2	ENSG00000275111	2:95165432-95184317:1	protein_coding	zinc finger protein 2 [Source:HGNC Symbol;Acc:HGNC:12991]	Barone 2020	1	.	0	yes
LINC00547	ENSG00000275226	13:37534940-37551536:1	lncRNA	long intergenic non-protein coding RNA 547 [Source:HGNC Symbol;Acc:HGNC:43682]	Barone 2020	1	.	0	yes
PTGER4P2-CDK2AP2P2	ENSG00000275450	9:41276280-41282846:1	lncRNA	PTGER4P2-CDK2AP2P2 readthrough, transcribed pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:442421]	Barone 2020	1	.	0	yes
ENSG00000275674	ENSG00000275674	15:90266317-90314499:1	protein_coding	novel protein	This study	1	.	0	yes
EIF3FP1	ENSG00000275945	21:10330732-10331537:1	processed_pseudogene	eukaryotic translation initiation factor 3 subunit F pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3276]	.	0	Ntostis 2021	1	yes
DUSP14	ENSG00000276023	17:37489891-37513501:1	protein_coding	dual specificity phosphatase 14 [Source:HGNC Symbol;Acc:HGNC:17007]	.	0	Hamatini 2004	1	yes
UHRF1	ENSG00000276043	19:4903080-4962154:1	protein_coding	ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]	.	0	Llonch 2021	1	yes
TADA2A	ENSG00000276234	17:37406886-37479725:1	protein_coding	transcriptional adaptor 2A [Source:HGNC Symbol;Acc:HGNC:11531]	Llonch 2021, Yuan 2021	2	.	0	yes
FAM25C	ENSG00000276430	10:47995322-47999791:-1	protein_coding	family with sequence similarity 25 member C [Source:HGNC Symbol;Acc:HGNC:23586]	.	0	Ntostis 2021	1	yes
DACH1	ENSG00000276644	13:71437966-71867204:-1	protein_coding	dachshund family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2663]	Reyes 2017	1	.	0	yes
TYW1B	ENSG00000277149	7:72558744-72828200:-1	protein_coding	tRNA-yW synthesizing protein 1 homolog B [Source:HGNC Symbol;Acc:HGNC:33908]	Ntostis 2021, Reyes 2017, Yuan 2021	3	.	0	yes
GOLGA6L6	ENSG00000277322	15:20531856-20541800:-1	protein_coding	golgin A6 family like 6 [Source:HGNC Symbol;Acc:HGNC:37225]	Barone 2020	1	.	0	yes
ZNF670	ENSG00000277462	1:247034637-247078811:-1	protein_coding	zinc finger protein 670 [Source:HGNC Symbol;Acc:HGNC:28167]	.	0	This study	1	yes
PKD1L3	ENSG00000277481	16:71929538-72000402:-1	protein_coding	polycystin 1 like 3, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:21716]	.	0	Llonch 2021	1	yes
NEFL	ENSG00000277586	8:24950955-24956721:-1	protein_coding	neurofilament light chain [Source:HGNC Symbol;Acc:HGNC:7739]	This study	1	.	0	yes
TRAC	ENSG00000277734	14:22547506-22552156:1	TR_C_gene	T cell receptor alpha constant [Source:HGNC Symbol;Acc:HGNC:12029]	.	0	Ntostis 2021	1	yes
SENP3-EIF4A1	ENSG00000277957	17:7563287-7578715:1	protein_coding	SENP3-EIF4A1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49182]	.	0	Ntostis 2021	1	yes
ENSG00000278022	ENSG00000278022	15:98660210-98660668:1	lncRNA	novel transcript, sense intronic to IGF1R	This study	1	.	0	yes
DDX52	ENSG00000278053	17:37609739-37643446:-1	protein_coding	DExD-box helicase 52 [Source:HGNC Symbol;Acc:HGNC:20038]	Llonch 2021	1	.	0	yes
ENSG00000278177	ENSG00000278177	13:93226612-93227317:-1	lncRNA	novel transcript, antisense to GPC6	This study	1	.	0	yes
SSTR3	ENSG00000278195	22:37204237-37212477:-1	protein_coding	somatostatin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11332]	.	0	Ntostis 2021	1	yes
CKAP2-DT	ENSG00000278238	13:52454774-52455392:-1	lncRNA	CKAP2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:56053]	Llonch 2021	1	.	0	yes
GGNBP2	ENSG00000278311	17:36544912-36589848:1	protein_coding	gametogenetin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19357]	Llonch 2021	1	.	0	yes
ENSG00000278376	ENSG00000278376	11:118791202-118793137:1	lncRNA	novel transcript	Llonch 2021	1	.	0	yes
ENSG00000278498	ENSG00000278498	10:103027336-103027498:1	misc_RNA		This study	1	.	0	yes
DHRS11	ENSG00000278535	17:36591879-36600804:1	protein_coding	dehydrogenase/reductase 11 [Source:HGNC Symbol;Acc:HGNC:28639]	.	0	Ntostis 2021	1	yes
ACACA	ENSG00000278540	17:37084992-37406836:-1	protein_coding	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	Grondahl 2010	1	.	0	yes
TMEM191B	ENSG00000278558	22:18527802-18530573:1	protein_coding	transmembrane protein 191B [Source:HGNC Symbol;Acc:HGNC:33600]	.	0	Ntostis 2021	1	yes
NR2E3	ENSG00000278570	15:71792638-71818259:1	protein_coding	nuclear receptor subfamily 2 group E member 3 [Source:HGNC Symbol;Acc:HGNC:7974]	Zhang 2020	1	Reyes 2017	1	no
C11orf98	ENSG00000278615	11:62662817-62665210:-1	protein_coding	chromosome 11 open reading frame 98 [Source:HGNC Symbol;Acc:HGNC:51238]	.	0	Ntostis 2021	1	yes
BEND3P3	ENSG00000278616	10:79682997-79685436:1	processed_pseudogene	BEN domain containing 3 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:45016]	.	0	Barone 2020	1	yes
BACE1-AS	ENSG00000278768	11:117288453-117293578:1	lncRNA	BACE1 antisense RNA [Source:HGNC Symbol;Acc:HGNC:37125]	.	0	This study	1	yes
ENSG00000278974	ENSG00000278974	4:188740507-188741281:-1	TEC	tec	Llonch 2021	1	.	0	yes
ENSG00000278981	ENSG00000278981	4:154235980-154237598:1	lncRNA	novel transcript, antisense to DCHS2	Llonch 2021	1	.	0	yes
ENSG00000279168	ENSG00000279168	7:102579104-102679295:-1	lncRNA	novel transcript, sense overlapping POLR2J2, UPK3BL and RASA4	.	0	Llonch 2021	1	yes
ENSG00000279208	ENSG00000279208	21:9369285-9376645:-1	unprocessed_pseudogene	ankyrin repeat domain 18A (ANKRD18A) pseudogene	Llonch 2021	1	.	0	yes
ENSG00000279329	ENSG00000279329	19:34675717-34677581:-1	TEC	novel transcript	.	0	This study	1	yes
ENSG00000279364	ENSG00000279364	15:34978351-34980084:1	TEC	TEC	.	0	This study	1	yes
FAM230C	ENSG00000279516	13:18195297-18232024:1	lncRNA	family with sequence similarity 230 member C [Source:HGNC Symbol;Acc:HGNC:24482]	Barone 2020	1	.	0	yes
ENSG00000279529	ENSG00000279529	19:16572548-16575340:1	lncRNA	novel transcript, antisense to MED26	.	0	Llonch 2021	1	yes
ENSG00000279694	ENSG00000279694	15:78339208-78341757:-1	TEC	TEC	.	0	This study	1	yes
ENSG00000279722	ENSG00000279722	16:53487607-53489943:-1	TEC	novel transcript	.	0	Llonch 2021	1	yes
DNM1P41	ENSG00000280038	15:84166547-84169896:-1	TEC	dynamin 1 pseudogene 41 [Source:HGNC Symbol;Acc:HGNC:35191]	Llonch 2021	1	.	0	yes
ENSG00000280046	ENSG00000280046	17:7858943-7866083:1	TEC	TEC	This study	1	.	0	yes
ENSG00000280241	ENSG00000280241	4:153948718-154300500:1	lncRNA	novel transcript, antisense to DCHS2	Llonch 2021	1	.	0	yes
ENSG00000280433	ENSG00000280433	21:5155499-5163695:-1	artifact	novel protein, similar to trafficking protein particle complex 10 TRAPPC10	.	0	Llonch 2021	1	yes
ENSG00000280614	ENSG00000280614	21:8393419-8394341:-1	lncRNA	novel transcript, similar to YY1 associated myogenesis RNA 1 YAM1	This study	1	.	0	yes
EIF1B-AS1	ENSG00000280739	3:40061110-40309698:-1	lncRNA	EIF1B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44555]	This study	1	.	0	yes
GSEC	ENSG00000280832	11:126340882-126355587:-1	lncRNA	G-quadruplex forming sequence containing lncRNA [Source:HGNC Symbol;Acc:HGNC:48645]	.	0	Ntostis 2021	1	yes
TRG-AS1	ENSG00000281103	7:38330978-38378804:1	lncRNA	T cell receptor gamma locus antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48974]	Barone 2020	1	.	0	yes
SLFNL1-AS1	ENSG00000281207	1:41014590-41043890:1	lncRNA	SLFNL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44126]	Barone 2020	1	.	0	yes
LINC00997	ENSG00000281332	7:32760279-32762924:1	lncRNA	long intergenic non-protein coding RNA 997 [Source:HGNC Symbol;Acc:HGNC:48952]	.	0	Barone 2020	1	yes
ENSG00000281383	ENSG00000281383	21:8254592-8255514:-1	lncRNA	novel transcript, similar to YY1 associated myogenesis RNA 1 YAM1	This study	1	.	0	yes
LINC00506	ENSG00000281392	3:87089129-87158363:1	lncRNA	long intergenic non-protein coding RNA 506 [Source:NCBI gene (formerly Entrezgene);Acc:100846978]	Barone 2020	1	.	0	yes
SEPSECS-AS1	ENSG00000281501	4:25160641-25201440:1	lncRNA	SEPSECS antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:27737]	.	0	Ntostis 2021	1	yes
